Timestamp;City;Gender;Age;Field_of_Study;Years_Batch;Question_6;Question_7;Question_8;TS1;TS2;TS3;TS4;TS5;TS6;TS7;PS8;PS9;PS10;PS11;CS12;CS13;CS14;CS15;CS16;DS17;DS18;DS19;DS20;IS21;IS22;IS23;IS24;IS25;COS26;COS27;COS28;Technological_Skill_AverageScore;Personal_Security_Skill_AverageScore;Critical_Skill_AverageScore;Device_Security_Skill_AverageScore;Informational_Skill_AverageScore;Communication_Skill_AverageScore;Digital_Literacy_TotalScore_exclude_item28
5/23/2023;Surabaya;Female;19;History;2022;Yes;Yes;No;4;4;4;5;3;4;4;3;4;4;4;3;4;4;4;4;3;2;3;4;3;3;4;3;2;4;4;1;4;3,75;3,8;3;3;4;97
5/23/2023;Cirebon;Female;18;Public Health;2022;Yes;Yes;No;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;4;3;4;4;4;4;4;4;4;4;4;3,25;3,8;4;104
5/23/2023;Surabaya;Male;19;Psychology;2022;Yes;Yes;No;2;2;3;4;4;4;3;3;4;3;5;4;4;2;4;3;3;2;3;2;2;2;3;3;2;4;4;1;3,14285714285714;3,75;3,4;2,5;2,4;4;84
5/23/2023;Surabaya;Female;19;Psychology;2022;Yes;Yes;No;3;4;4;4;3;4;3;4;4;4;4;4;4;3;4;4;3;3;4;3;3;4;3;4;4;3;4;1;3,57142857142857;4;3,8;3,25;3,6;3,5;98
5/23/2023;Malang;Female;18;Law;2022;Yes;Yes;No;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;3;5;5;5;3;1;1;5;5;1;5;5;3;4,42857142857143;5;4,6;4,5;2,6;5;115
5/23/2023;Surabaya;Female;18;Digital Office Management;2022;Yes;Yes;No;4;4;4;3;5;3;3;3;4;5;5;5;5;5;4;5;3;3;4;3;3;2;3;3;2;4;4;2;3,71428571428571;4,25;4,8;3,25;2,6;4;101
5/23/2023;Bojonegoro;Female;19;Law;2022;Yes;Yes;No;4;4;4;3;3;3;4;4;3;5;5;3;4;3;3;4;2;3;3;4;2;2;3;3;2;3;4;4;3,57142857142857;4,25;3,4;3;2,4;3,5;90
5/23/2023;Kediri;Female;19;Banking and Finance;2022;Yes;Yes;No;5;5;4;4;3;3;2;4;4;4;5;4;4;3;4;3;3;3;4;3;2;3;2;3;3;4;4;2;3,71428571428571;4,25;3,6;3,25;2,6;4;95
5/23/2023;Kediri;Female;20;Mathematics;2022;Yes;Yes;No;4;4;4;4;2;4;2;4;5;5;5;4;4;2;4;4;4;2;4;2;4;2;4;4;4;4;5;1;3,42857142857143;4,75;3,6;3;3,6;4,5;100
5/23/2023;Surabaya;Female;19;Pharmacy;2022;Yes;Yes;No;4;3;3;2;3;4;2;3;4;4;4;4;4;3;3;3;2;3;3;3;3;3;3;4;3;3;4;3;3;3,75;3,4;2,75;3,2;3,5;87
5/23/2023;Pamekasan;Female;19;Medicine;2022;Yes;Yes;No;3;5;5;5;5;5;4;5;4;5;5;5;5;4;5;4;3;2;5;4;4;4;4;3;4;5;5;4;4,57142857142857;4,75;4,6;3,5;3,8;5;117
5/23/2023;Surabaya;Female;20;Anthropology;2022;Yes;Yes;No;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;2;3;4;4;5;5;2;3,85714285714286;4;3,8;4;3,4;5;105
5/23/2023;Surabaya;Female;19;Law;2022;Yes;Yes;No;5;5;5;5;4;4;5;5;5;5;5;5;5;3;4;2;4;3;5;3;4;3;4;5;4;3;5;3;4,71428571428571;5;3,8;3,75;4;4;115
5/23/2023;Bekasi;Male;19;Pharmacy;2022;Yes;Yes;No;4;4;3;4;3;5;4;4;4;2;4;4;4;3;4;2;3;2;2;3;1;1;2;1;1;2;4;2;3,85714285714286;3,5;3,4;2,5;1,2;3;80
5/23/2023;Sragen;Female;21;Taxation;2022;Yes;Yes;No;5;5;5;5;4;4;3;5;5;5;5;5;5;4;4;5;3;2;5;5;4;3;4;4;4;3;5;1;4,42857142857143;5;4,6;3,75;3,8;4;116
5/23/2023;Sidoarjo;Male;20;Sociology;2022;Yes;Yes;No;5;4;4;4;2;5;4;5;5;4;4;5;4;4;5;4;5;4;4;4;4;4;4;4;4;5;4;1;4;4,5;4,4;4,25;4;4,5;114
5/23/2023;Surabaya;Male;20;Indonesian Literature;2022;Yes;Yes;No;4;5;3;5;3;3;1;4;5;5;5;5;4;4;5;5;5;5;5;5;3;3;2;3;3;4;5;4;3,42857142857143;4,75;4,6;5;2,8;4,5;109
5/23/2023;Bondowoso;Male;20;Statistics;2022;Yes;Yes;No;5;5;5;5;5;5;3;5;5;5;5;5;4;4;4;3;5;5;5;3;4;4;4;5;5;3;5;3;4,71428571428571;5;4;4,5;4,4;4;121
5/23/2023;Magetan;Male;19;Fishery Product Technology;2022;Yes;Yes;No;4;4;4;4;3;3;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;2;2;3;3;3;3;2;3,42857142857143;3,75;4;4;2,8;3;95
5/23/2023;Gresik;Female;19;Informatics Engineering;2022;Yes;Yes;No;5;5;5;5;5;3;2;4;5;3;5;4;4;3;3;2;2;2;3;3;3;4;3;4;3;4;5;4;4,28571428571429;4,25;3,2;2,5;3,4;4,5;99
5/23/2023;Surabaya;Female;21;History;2020;Yes;Yes;No;3;4;4;5;4;3;3;5;4;3;4;5;5;4;4;4;4;2;5;4;2;4;4;4;4;5;4;1;3,71428571428571;4;4,4;3,75;3,6;4,5;106
5/23/2023;Jakarta;Male;19;Development Economics;2021;Yes;Yes;No;4;5;5;5;5;5;4;5;5;5;5;5;4;4;4;4;3;4;5;4;1;2;2;3;4;5;5;2;4,71428571428571;5;4,2;4;2,4;5;112
